District,Category,Bathroom,Direction,House Status,Verification,Land Area (m2),Land Used Area (m2),Width (m),Alley Width (m),Price (bil),Price/m2 (mil),Floor,Have Mezzanine,Have Rooftop,Have Basement,Have Attic,Near Market,Near Hospital,Near Center,Near Frontage,Securities Space,Comfortable Space,Have Car Park,Larger Rear,Alley Surface,Urgent Sale
4,1,4.0,2,1,2,4.014579593753238,5.227358277607543,1.599387576580599,1.6094379124341003,6.8,125.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,1,1.0,2,2,2,3.3843902633457743,3.7062280924485496,1.0986122886681098,1.0986122886681098,3.03,106.3,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
4,1,2.0,3,2,2,4.235554730773624,4.35799005684564,1.3862943611198906,1.0986122886681098,4.0,58.7,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,1,1.0,2,1,2,3.6938669956249757,4.37449836825309,2.081938421878423,1.0986122886681098,3.7,94.4,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
4,1,2.0,2,1,2,3.4719664525503626,4.23410650459726,2.122261538862764,1.3862943611198906,3.45,110.6,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
4,1,2.0,2,2,2,3.914021008090819,4.368181227851829,1.4011829736136414,1.0986122886681098,3.7,75.4,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,1,2.0,3,1,2,3.535145354171894,3.6888794541139363,2.0918640616783932,1.3862943611198906,3.8,114.1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,1,1.0,2,1,2,3.7727609380946383,4.174387269895637,1.4562867329399256,1.0986122886681098,3.5,82.4,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,1,2.0,2,2,2,4.128745988939433,4.2017030805426,1.5953389880545987,2.1972245773362196,8.1,132.6,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4,1,1.0,2,2,2,3.5890591188317256,4.07753744390572,1.4793292270870801,1.2809338454620642,4.0,113.6,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,1,1.0,3,2,2,4.22683374526818,4.394449154672439,1.4678743481123135,1.5040773967762742,5.8,85.9,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,1,3.0,2,1,2,3.6988297849671046,4.774068722449905,1.4586150226995167,1.3862943611198906,5.0,126.9,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,1,2.0,2,1,2,3.775057150354989,4.0943445622221,1.62924053973028,0.6931471805599453,3.1,72.8,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,1,3.0,3,1,2,3.3141860046725258,4.252771798816619,1.4011829736136414,1.144222799920162,3.2,120.8,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,1,1.0,2,2,2,3.7256934272366524,3.8753590210565547,1.6544112780768316,1.252762968495368,2.5,61.7,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,1,1.0,2,1,2,3.0492730404820207,3.7184382563554808,1.6974487897568136,1.5040773967762742,2.2,109.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,1,5.0,3,2,2,4.300002799195291,5.349960599699875,1.791759469228055,1.3862943611198906,7.6,104.5,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,1,2.0,2,2,2,3.342861804649192,4.597138014290827,1.8309801823813363,1.0986122886681098,6.5,238.1,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,1,2.0,3,3,2,3.2771447329921766,4.536891345234797,1.425515074273172,1.5040773967762742,4.0,156.9,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,1,4.0,2,1,2,4.3694478524670215,4.653960350157523,2.0082140323914683,1.0986122886681098,6.3,80.8,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,1,3.0,3,2,2,3.353406717825807,4.450852825603734,1.6389967146756448,1.3862943611198906,4.2,152.2,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
